time,cpu_usage,memory_usage
2024-01-12 08:31:00,51.2,45.7
2024-01-12 08:31:05,51.2,45.7
2024-01-12 08:31:10,50.4,45.7
2024-01-12 08:31:15,50.8,45.7
2024-01-12 08:31:20,50.8,45.7
2024-01-12 08:31:25,50.6,45.7
2024-01-12 08:31:30,50.9,45.7
2024-01-12 08:31:35,50.8,45.7
2024-01-12 08:31:40,51.0,45.7
2024-01-12 08:31:45,50.8,45.7
2024-01-12 08:31:50,51.0,45.7
2024-01-12 08:31:55,50.7,45.7
2024-01-12 08:32:00,50.9,45.7
2024-01-12 08:32:05,50.7,45.7
2024-01-12 08:32:10,50.7,45.7
2024-01-12 08:32:15,51.5,45.7
2024-01-12 08:32:20,51.0,45.7
2024-01-12 08:32:25,51.0,45.7
2024-01-12 08:32:30,50.6,45.7
2024-01-12 08:32:35,50.9,45.7
2024-01-12 08:32:40,51.2,45.7
2024-01-12 08:32:45,51.3,45.7
2024-01-12 08:32:50,51.4,45.7
2024-01-12 08:32:55,50.7,45.7
2024-01-12 08:33:00,50.8,45.7
2024-01-12 08:33:05,51.0,45.7
2024-01-12 08:33:10,50.8,45.8
2024-01-12 08:33:15,51.1,45.7
2024-01-12 08:33:20,50.7,45.7
2024-01-12 08:33:25,50.9,45.8
2024-01-12 08:33:30,51.0,45.8
2024-01-12 08:33:35,50.8,45.8
2024-01-12 08:33:40,50.7,45.8
2024-01-12 08:33:45,50.7,45.8
2024-01-12 08:33:50,50.6,45.8
2024-01-12 08:33:55,50.4,45.7
2024-01-12 08:34:00,50.6,45.7
2024-01-12 08:34:05,50.8,45.7
2024-01-12 08:34:10,51.3,45.7
2024-01-12 08:34:15,50.6,45.7
2024-01-12 08:34:20,50.6,45.7
2024-01-12 08:34:25,50.9,45.7
2024-01-12 08:34:30,51.1,45.7
2024-01-12 08:34:35,50.8,45.7
2024-01-12 08:34:40,50.9,45.7
2024-01-12 08:34:45,51.0,45.8
2024-01-12 08:34:50,50.9,45.8
2024-01-12 08:34:55,50.8,45.8
2024-01-12 08:35:00,50.9,45.9
2024-01-12 08:35:05,50.7,46.1
2024-01-12 08:35:10,50.7,46.0
2024-01-12 08:35:15,51.1,45.9
2024-01-12 08:35:20,51.0,45.9
2024-01-12 08:35:25,50.9,45.9
2024-01-12 08:35:30,50.9,45.9
2024-01-12 08:35:35,50.9,45.9
2024-01-12 08:35:40,50.6,45.9
