time,cpu_usage,memory_usage
2024-01-14 17:41:42,49.3,3.7
2024-01-14 17:41:47,49.4,3.7
2024-01-14 17:41:52,49.4,3.7
2024-01-14 17:41:57,49.4,3.7
2024-01-14 17:42:02,50.2,3.7
2024-01-14 17:42:07,49.4,3.7
2024-01-14 17:42:12,49.4,3.7
2024-01-14 17:42:17,49.5,3.7
2024-01-14 17:42:22,49.4,3.7
2024-01-14 17:42:28,49.3,3.7
2024-01-14 17:42:33,49.5,3.7
2024-01-14 17:42:38,49.3,3.7
2024-01-14 17:42:43,49.3,3.7
2024-01-14 17:42:48,19.8,3.8
2024-01-14 17:42:53,50.0,3.8
2024-01-14 17:42:58,49.7,3.8
2024-01-14 17:43:03,49.5,3.8
2024-01-14 17:43:08,49.5,3.8
2024-01-14 17:43:13,49.8,3.8
2024-01-14 17:43:18,49.6,3.8
2024-01-14 17:43:23,49.5,3.8
2024-01-14 17:43:28,49.6,3.8
2024-01-14 17:43:33,49.6,3.8
2024-01-14 17:43:38,49.5,3.8
2024-01-14 17:43:43,49.6,3.8
2024-01-14 17:43:48,49.5,3.8
2024-01-14 17:43:53,49.6,3.8
2024-01-14 17:43:58,49.6,3.8
2024-01-14 17:44:03,49.6,3.8
2024-01-14 17:44:08,49.6,3.7
2024-01-14 17:44:13,49.6,3.7
2024-01-14 17:44:18,49.6,3.7
2024-01-14 17:44:23,49.6,3.7
2024-01-14 17:44:28,49.6,3.7
2024-01-14 17:44:33,49.6,3.7
2024-01-14 17:44:38,49.6,3.7
2024-01-14 17:44:43,49.6,3.7
2024-01-14 17:44:48,49.7,3.7
2024-01-14 17:44:53,49.7,3.7
2024-01-14 17:44:58,49.5,3.8
2024-01-14 17:45:03,49.7,3.8
2024-01-14 17:45:08,49.7,3.7
2024-01-14 17:45:13,49.7,3.7
2024-01-14 17:45:18,49.6,3.7
2024-01-14 17:45:23,50.0,3.8
2024-01-14 17:45:28,50.3,3.8
2024-01-14 17:45:33,50.0,3.8
2024-01-14 17:45:38,49.7,3.8
2024-01-14 17:45:43,49.7,3.8
2024-01-14 17:45:48,49.7,3.8
2024-01-14 17:45:53,49.5,3.8
2024-01-14 17:45:58,49.6,3.8
2024-01-14 17:46:03,49.5,3.7
2024-01-14 17:46:08,49.6,3.7
2024-01-14 17:46:13,49.5,3.7
2024-01-14 17:46:18,49.6,3.7
2024-01-14 17:46:23,49.6,3.7
2024-01-14 17:46:28,49.6,3.7
2024-01-14 17:46:33,49.6,3.7
2024-01-14 17:46:38,49.6,3.7
2024-01-14 17:46:43,49.6,3.7
2024-01-14 17:46:48,49.6,3.8
2024-01-14 17:46:53,49.6,3.8
2024-01-14 17:46:58,49.6,3.8
2024-01-14 17:47:03,49.5,3.8
2024-01-14 17:47:08,49.6,3.7
2024-01-14 17:47:13,49.6,3.7
2024-01-14 17:47:18,49.6,3.8
2024-01-14 17:47:23,49.6,3.8
2024-01-14 17:47:28,49.6,3.8
2024-01-14 17:47:33,49.6,3.8
2024-01-14 17:47:38,49.7,3.8
2024-01-14 17:47:43,49.6,3.8
2024-01-14 17:47:48,49.7,3.8
2024-01-14 17:47:53,49.6,3.8
2024-01-14 17:47:58,49.6,3.8
2024-01-14 17:48:03,50.2,3.8
2024-01-14 17:48:08,49.8,3.8
2024-01-14 17:48:13,49.4,3.8
2024-01-14 17:48:18,49.5,3.8
2024-01-14 17:48:23,49.5,3.8
2024-01-14 17:48:28,49.5,3.8
2024-01-14 17:48:33,49.5,3.8
2024-01-14 17:48:38,49.6,3.8
2024-01-14 17:48:43,49.6,3.8
2024-01-14 17:48:48,49.7,3.8
2024-01-14 17:48:53,50.2,3.8
2024-01-14 17:48:58,49.9,3.8
2024-01-14 17:49:03,49.5,3.8
2024-01-14 17:49:08,49.5,3.8
2024-01-14 17:49:13,49.5,3.8
2024-01-14 17:49:18,49.6,3.8
2024-01-14 17:49:23,49.5,3.8
2024-01-14 17:49:28,49.5,3.8
2024-01-14 17:49:33,49.4,3.8
2024-01-14 17:49:38,49.6,3.8
2024-01-14 17:49:43,49.5,3.8
2024-01-14 17:49:48,49.6,3.8
2024-01-14 17:49:53,49.6,3.8
2024-01-14 17:49:58,49.6,3.8
2024-01-14 17:50:03,49.7,3.8
2024-01-14 17:50:08,49.6,3.8
2024-01-14 17:50:13,49.5,3.8
2024-01-14 17:50:18,49.7,3.8
2024-01-14 17:50:23,49.5,3.8
2024-01-14 17:50:28,49.6,3.8
2024-01-14 17:50:33,49.7,3.8
2024-01-14 17:50:38,49.6,3.8
2024-01-14 17:50:43,49.6,3.8
2024-01-14 17:50:48,49.7,3.8
2024-01-14 17:50:53,49.6,3.8
2024-01-14 17:50:58,49.7,3.8
2024-01-14 17:51:03,49.6,3.8
2024-01-14 17:51:08,49.6,3.8
2024-01-14 17:51:13,49.6,3.8
2024-01-14 17:51:18,49.6,3.8
2024-01-14 17:51:23,49.7,3.8
2024-01-14 17:51:28,49.7,3.8
2024-01-14 17:51:33,49.6,3.8
