time,cpu_usage,memory_usage,gpu_usage,gpu_memory_usage
2024-01-17 17:27:06,50.7,69.0,0.08,0.3076171875
2024-01-17 17:27:11,37.2,69.0,0.08,0.3076171875
2024-01-17 17:27:16,0.4,69.0,0.08,0.3076171875
2024-01-17 17:27:21,0.5,69.0,0.08,0.3076171875
2024-01-17 17:27:26,0.4,69.0,0.08,0.3076171875
2024-01-17 17:27:31,0.4,69.0,0.08,0.3076171875
2024-01-17 17:27:36,0.3,69.0,0.08,0.3076171875
2024-01-17 17:27:41,0.4,69.0,0.08,0.3076171875
2024-01-17 17:27:46,0.3,69.0,0.08,0.3076171875
2024-01-17 17:27:51,0.4,69.0,0.08,0.3076171875
2024-01-17 17:27:56,40.1,69.0,0.08,0.3076171875
2024-01-17 17:28:01,50.9,69.0,0.08,0.3076171875
2024-01-17 17:28:06,50.9,69.0,0.08,0.3076171875
2024-01-17 17:28:11,50.7,69.0,0.08,0.3076171875
2024-01-17 17:28:16,51.0,69.0,0.08,0.3076171875
2024-01-17 17:28:21,51.0,69.0,0.08,0.3076171875
2024-01-17 17:28:26,51.2,69.0,0.08,0.3076171875
2024-01-17 17:28:31,51.3,69.0,0.08,0.3076171875
2024-01-17 17:28:36,50.8,69.0,0.08,0.3076171875
2024-01-17 17:28:41,50.9,69.0,0.08,0.3076171875
2024-01-17 17:28:46,51.0,69.0,0.08,0.3076171875
2024-01-17 17:28:51,51.2,69.1,0.08,0.3076171875
2024-01-17 17:28:56,51.0,69.0,0.08,0.3076171875
2024-01-17 17:29:01,28.0,69.0,0.08,0.3076171875
2024-01-17 17:29:06,0.4,69.0,0.08,0.3076171875
2024-01-17 17:29:11,0.4,69.0,0.08,0.3076171875
2024-01-17 17:29:16,0.5,69.0,0.08,0.3076171875
2024-01-17 17:29:21,0.4,69.0,0.08,0.3076171875
2024-01-17 17:29:26,0.5,69.0,0.08,0.3076171875
2024-01-17 17:29:31,0.3,69.0,0.08,0.3076171875
2024-01-17 17:29:36,0.4,69.0,0.08,0.3076171875
2024-01-17 17:29:41,0.4,69.0,0.08,0.3076171875
2024-01-17 17:29:46,0.3,69.0,0.08,0.3076171875
2024-01-17 17:29:51,24.5,69.0,0.08,0.3076171875
2024-01-17 17:29:56,51.0,69.0,0.08,0.3076171875
2024-01-17 17:30:01,51.2,69.0,0.08,0.3076171875
2024-01-17 17:30:06,50.8,69.0,0.08,0.3076171875
2024-01-17 17:30:11,51.0,69.0,0.08,0.3076171875
2024-01-17 17:30:16,51.0,69.0,0.08,0.3076171875
2024-01-17 17:30:21,51.0,69.0,0.08,0.3076171875
2024-01-17 17:30:26,51.8,69.0,0.08,0.3076171875
2024-01-17 17:30:31,51.0,69.0,0.08,0.3076171875
2024-01-17 17:30:36,50.9,69.1,0.08,0.3076171875
2024-01-17 17:30:41,45.6,69.0,0.08,0.3076171875
2024-01-17 17:30:46,0.5,69.0,0.08,0.3076171875
2024-01-17 17:30:51,0.4,69.0,0.08,0.3076171875
2024-01-17 17:30:56,1.7,69.0,0.08,0.3076171875
2024-01-17 17:31:01,51.0,69.0,0.08,0.3076171875
2024-01-17 17:31:06,50.9,69.0,0.08,0.3076171875
2024-01-17 17:31:11,50.9,69.1,0.08,0.3076171875
2024-01-17 17:31:16,50.8,69.1,0.08,0.3076171875
2024-01-17 17:31:21,50.9,69.1,0.08,0.3076171875
2024-01-17 17:31:26,51.0,69.1,0.08,0.3076171875
2024-01-17 17:31:31,50.9,69.1,0.08,0.3076171875
2024-01-17 17:31:36,51.0,69.1,0.08,0.3076171875
2024-01-17 17:31:41,51.1,69.1,0.08,0.3076171875
2024-01-17 17:31:46,50.7,69.1,0.08,0.3076171875
2024-01-17 17:31:51,50.7,69.1,0.08,0.3076171875
2024-01-17 17:31:56,50.6,69.1,0.08,0.3076171875
2024-01-17 17:32:01,29.7,69.1,0.08,0.3076171875
2024-01-17 17:32:06,0.3,69.1,0.08,0.3076171875
2024-01-17 17:32:11,0.3,69.1,0.08,0.3076171875
2024-01-17 17:32:16,0.3,69.1,0.08,0.3076171875
2024-01-17 17:32:21,0.3,69.0,0.08,0.3076171875
2024-01-17 17:32:26,0.3,69.1,0.08,0.3076171875
2024-01-17 17:32:31,37.6,69.1,0.08,0.3076171875
2024-01-17 17:32:36,51.0,69.0,0.08,0.3076171875
2024-01-17 17:32:41,50.8,69.1,0.08,0.3076171875
2024-01-17 17:32:46,50.9,69.1,0.08,0.3076171875
2024-01-17 17:32:51,50.9,69.1,0.08,0.3076171875
2024-01-17 17:32:56,50.8,69.1,0.08,0.3076171875
2024-01-17 17:33:01,51.0,69.1,0.08,0.3076171875
2024-01-17 17:33:06,50.8,69.1,0.08,0.3076171875
2024-01-17 17:33:11,50.7,69.1,0.08,0.3076171875
2024-01-17 17:33:16,50.6,69.1,0.08,0.3076171875
2024-01-17 17:33:21,51.6,69.2,0.08,0.3076171875
2024-01-17 17:33:26,51.0,69.1,0.08,0.3076171875
2024-01-17 17:33:31,51.0,69.1,0.08,0.3076171875
2024-01-17 17:33:36,31.1,69.1,0.08,0.3076171875
2024-01-17 17:33:41,0.4,69.0,0.08,0.3076171875
2024-01-17 17:33:46,0.3,69.0,0.08,0.3076171875
2024-01-17 17:33:51,0.3,69.0,0.08,0.3076171875
2024-01-17 17:33:56,0.3,69.1,0.08,0.3076171875
2024-01-17 17:34:01,0.2,69.0,0.08,0.3076171875
2024-01-17 17:34:06,46.7,69.1,0.08,0.3076171875
2024-01-17 17:34:11,51.0,69.1,0.08,0.3076171875
2024-01-17 17:34:16,50.9,69.1,0.08,0.3076171875
2024-01-17 17:34:22,51.0,69.1,0.08,0.3076171875
2024-01-17 17:34:27,51.0,69.1,0.08,0.3076171875
2024-01-17 17:34:32,51.0,69.2,0.08,0.3076171875
2024-01-17 17:34:37,51.0,69.1,0.08,0.3076171875
2024-01-17 17:34:42,50.9,69.1,0.08,0.3076171875
2024-01-17 17:34:47,51.1,69.1,0.08,0.3076171875
2024-01-17 17:34:52,50.7,69.1,0.08,0.3076171875
2024-01-17 17:34:57,50.7,69.1,0.08,0.3076171875
2024-01-17 17:35:02,20.8,69.1,0.08,0.3076171875
2024-01-17 17:35:07,0.3,69.1,0.08,0.3076171875
2024-01-17 17:35:12,0.3,69.1,0.08,0.3076171875
2024-01-17 17:35:17,0.2,69.1,0.08,0.3076171875
2024-01-17 17:35:22,0.7,69.1,0.08,0.3076171875
2024-01-17 17:35:27,0.2,69.1,0.08,0.3076171875
2024-01-17 17:35:32,46.5,69.1,0.08,0.3076171875
2024-01-17 17:35:37,50.9,69.1,0.08,0.3076171875
2024-01-17 17:35:42,50.8,69.1,0.08,0.3076171875
2024-01-17 17:35:47,51.0,69.1,0.08,0.3076171875
2024-01-17 17:35:52,51.0,69.1,0.08,0.3076171875
2024-01-17 17:35:57,51.2,69.1,0.08,0.3076171875
2024-01-17 17:36:02,51.0,69.1,0.08,0.3076171875
2024-01-17 17:36:07,44.2,69.1,0.08,0.3076171875
2024-01-17 17:36:12,0.4,69.1,0.08,0.3076171875
2024-01-17 17:36:17,0.3,69.1,0.08,0.3076171875
2024-01-17 17:36:22,0.4,69.1,0.08,0.3076171875
2024-01-17 17:36:27,0.6,69.1,0.08,0.3076171875
2024-01-17 17:36:32,0.4,69.1,0.08,0.3076171875
2024-01-17 17:36:37,0.4,69.1,0.08,0.3076171875
2024-01-17 17:36:42,0.4,69.1,0.08,0.3076171875
2024-01-17 17:36:47,0.2,69.1,0.08,0.3076171875
2024-01-17 17:36:52,0.2,69.1,0.08,0.3076171875
2024-01-17 17:36:57,24.1,69.1,0.08,0.3076171875
2024-01-17 17:37:02,50.8,69.1,0.08,0.3076171875
